                           stepid  dayscons_ade dayscons_weeks_ade
depconcn             0.4248162074  1.000000000  0.1180049266 -1.837418e-01
depappet             0.0669063383  0.118004927  1.0000000000  4.304871e-02
deppmr              -0.2631352467 -0.183741781  0.0430487101  1.000000e+00
dage1st              0.0114471224  0.047536214  0.0076535208 -7.568551e-03
dage1stcat          -0.0316390867 -0.024747186  0.0193984937  1.934693e-02
mage1st              0.0056017780  0.080084154 -0.0052807319  1.666783e-02
mage1stcat           0.0110623264  0.044248673  0.0071034115  1.360178e-02
depsi               -0.2932081633 -0.268337248 -0.0492918475  1.721465e-01
depsicat            -0.0701330538 -0.112984055 -0.0310713153  7.252076e-02
depsev              -0.4097855546 -0.367784482 -0.0999193797  2.246747e-01
depse                0.4643071965  0.427949372  0.0880967500 -1.924907e-01
depdist             -0.0951711060 -0.343736110 -0.0465532565  1.394200e-01
deppma              -0.0237135021 -0.246461068 -0.0858572264  2.927161e-02
elvselfe             0.4036871434  0.316436544  0.0449423187 -1.759770e-01
elvsleep            -0.2223066208 -0.022931801  0.0409558616  1.357852e-01
elvtalk              0.2559401016 -0.006826568 -0.0096919886 -7.308034e-02
elvfoi               0.0858931906 -0.204257242 -0.0826701240  5.469125e-03
elvdistr            -0.0935771106 -0.412839086 -0.0576196592  1.309513e-01
elvgdact             0.3241433532  0.145259040  0.0128418036 -1.009361e-01
elvhrb               0.0675365901 -0.097988209 -0.0229264737  4.809235e-02
elvpma               0.0059084570 -0.227814204 -0.0709983012  4.831101e-02
majdepc             -0.2786500334 -0.254653553 -0.0631520136  1.644010e-01
majdepp             -0.0010311159  0.001997051  0.0101063056 -2.383367e-03
moodgenc             0.0133255784  0.013673493  0.0044448065 -9.129923e-03
moodgenp             0.0176863943  0.010671007  0.0017351222 -1.199474e-02
moodsubc             0.0165575814  0.018178862  0.0070456012 -1.245271e-02
moodsubp             0.0144337786  0.013580006  0.0098454942 -5.080925e-03
manicc               0.0698445792 -0.015559212  0.0032744381 -2.795308e-02
hmanicc              0.0864451220  0.002981999 -0.0083778365 -1.385045e-02
manicp               0.0363930327  0.018757698  0.0149894625 -5.679342e-02
hmanicp              0.0147509649  0.011505540 -0.0219200230  1.370971e-02
typeiic             -0.0208561190 -0.020983255 -0.0130718891  4.326790e-02
typeiip              0.0032452751  0.019617147 -0.0069997841  2.666423e-02
clinstat             0.3826934742  0.375390477  0.0842179344 -2.214307e-01
manlast             -0.0178227624 -0.079467251 -0.0506231774  4.762266e-02
deppast             -0.0594996902 -0.066602877 -0.0165363887  5.773314e-02
mangenc              0.0211435423  0.017440303  0.0108454326 -1.083781e-02
mangenp              0.0182369022  0.017413810  0.0080052450 -8.630463e-03
hypogenc             0.0217008594  0.018210429  0.0109046505 -1.116298e-02
hypogenp             0.0244595030  0.021251654  0.0118794628 -1.102781e-02
mansubc              0.0250978590  0.018171213  0.0091546904 -1.320860e-02
mansubp              0.0109199985  0.014740136  0.0102276971 -1.076927e-05
hyposubc             0.0201586530  0.015095417  0.0110813109 -1.125654e-02
hyposubp             0.0261243101  0.022988859  0.0077837023 -4.456074e-03
anxdisc              0.0116392302  0.015326088  0.0080818980 -6.330816e-04
anxdisp              0.0056297427  0.002609376  0.0051152361 -2.105403e-03
anxsubc              0.0197012265  0.020850448  0.0148672801 -7.674333e-03
anxsubp              0.0209548552  0.020362999  0.0132314368 -1.205859e-02
pdnoagc              0.0094132311  0.003239869 -0.0100828278 -1.607518e-03
pdnoagp             -0.0034985205 -0.005479939  0.0033764490  5.212200e-03
pdagorc             -0.0255699972 -0.054406253 -0.0173538365  3.459540e-02
pdagorp             -0.0306282038 -0.068994780 -0.0124825662  3.118975e-02
agorc                0.0130240952 -0.003079300  0.0107306054  3.452872e-03
agorp                0.0079053054 -0.003269918  0.0095622345 -4.885229e-03
phobiac             -0.0459056539 -0.072590256 -0.0054645927  3.955275e-02
phobiap             -0.0394713632 -0.056348543 -0.0097463859  4.271844e-02
ocdcur               0.0254806532 -0.031114870  0.0083626370 -1.526752e-02
ocdc                 0.0170799032 -0.031273728  0.0111474892 -9.108070e-03
ocdpast              0.0161440158 -0.028088485  0.0146774562  3.535052e-03
ocdp                 0.0109342466 -0.026897997  0.0180533367  6.995973e-03
ocdgenc              0.0204017948  0.024247092  0.0147915095 -6.041854e-03
ocdgenp              0.0203277824  0.024406516  0.0157655236 -5.337978e-03
ocdsubc              0.0178396565  0.020383399  0.0161585452 -4.291268e-03
ocdsubp              0.0194351812  0.023579013  0.0152341405 -5.462041e-03
ptsdcur             -0.0241418334 -0.046435061 -0.0296400606  3.230244e-02
ptsdc               -0.0240778352 -0.034835776 -0.0235903042  3.378079e-02
ptsdpast            -0.0125748581 -0.036845332 -0.0254702566  3.012950e-02
ptsdp               -0.0131499504 -0.028124649 -0.0224015747  3.124392e-02
alcdepc              0.0039326929  0.002860309 -0.0027064074  1.354893e-02
alcdepp              0.0021269578 -0.019075890  0.0007527775  1.330856e-02
alcabusc             0.0120875121  0.011152466  0.0030472568  1.968895e-02
alcabusp             0.0035433725 -0.005421009  0.0195309359  2.524473e-02
drugdepc             0.0109823851  0.016603567  0.0154137070  5.323952e-03
drugdepp             0.0127067695 -0.004570255 -0.0100527029  2.352424e-03
drugabc              0.0114579797  0.023309611  0.0020149883  6.394462e-03
drugabp              0.0109774011 -0.007430516  0.0034542460  2.707407e-02
psychp               0.0186962283  0.026213666 -0.0003166614 -2.171550e-02
bpsychp              0.0254616946  0.029481216  0.0060148859 -8.800035e-03
ipsychp              0.0365625710  0.045107201  0.0186487751 -1.591517e-03
psychc               0.0184298771  0.022894735 -0.0028448971 -1.100234e-02
bpsychc              0.0258099341  0.029944991  0.0034818635 -1.005004e-02
ipsychc              0.0231250556  0.006726489  0.0034054949  3.134480e-03
schizc               0.0254901033  0.027099827  0.0019740841 -1.530864e-02
schizp               0.0255334177  0.027769773  0.0021858647 -1.786106e-02
schaffc              0.0239995682  0.026867402  0.0045998762 -1.219434e-02
schaffp              0.0244501638  0.029566152  0.0032861708 -1.245090e-02
schphrc              0.0264189577  0.030679715  0.0021820787 -1.005004e-02
schphrp              0.0264189577  0.030679715  0.0021820787 -1.005004e-02
deldisc              0.0270279813  0.032149163  0.0015321863 -1.005004e-02
deldisp              0.0280634444  0.032824823  0.0029708426 -1.025258e-02
psygenc              0.0258978986  0.030706018  0.0021112822 -9.739947e-03
psygenp              0.0284875463  0.031671441  0.0018173125 -9.627002e-03
psysubc              0.0266344135  0.031387149  0.0022526563 -9.943731e-03
psysubp              0.0116239374  0.015914049  0.0072795786 -5.453682e-03
psynosc              0.0221527405  0.023846426  0.0060757262 -3.208226e-03
psynosp              0.0174282238  0.022419183  0.0050478919 -1.442343e-03
moodnosp             0.0241548068  0.030275443  0.0042572850 -2.786991e-03
deppsyc              0.0174371905  0.024134646  0.0040559059 -3.070161e-03
deppsyp              0.0130759016  0.018886159  0.0019156598  2.383506e-03
bulpurgc             0.0159642807  0.016950056  0.0333543227 -4.514756e-03
bulpurgp             0.0068243745 -0.010208726  0.0262842741  4.112772e-03
bulnonpc             0.0203036001  0.024359778  0.0184748965 -5.060869e-03
bulnonpp             0.0120670850  0.018723943  0.0142196590  7.611655e-03
anbingec             0.0212134871  0.020628120  0.0183658675 -8.126640e-03
anbingep             0.0306336730  0.022589445  0.0214887484 -6.204234e-03
anrestrc             0.0196503433  0.031942745  0.0106928873 -7.272224e-03
anrestrp             0.0179122031  0.012199423  0.0276560074 -4.075764e-03
genanxc             -0.0372449981 -0.062777148 -0.0050468327  2.409875e-02
genanxp             -0.0228773072 -0.040421863  0.0033248387  2.237952e-02
ganxgenc             0.0180084141  0.028242888  0.0115231871 -8.018283e-03
ganxgenp             0.0191048028  0.029706061  0.0116370189 -8.661179e-03
gadsubc              0.0196607220  0.027507744  0.0087791524 -6.835059e-03
gadsubp              0.0207532506  0.028975654  0.0089023500 -7.482970e-03
addkidc              0.0127018032  0.038418397 -0.0062461363 -2.123979e-02
addkidp              0.0229882995  0.045091303  0.0015474742 -2.712723e-02
addadltc             0.0219104055 -0.035507003 -0.0059146465  4.428632e-03
addadltp             0.0266750667 -0.044247898 -0.0029360760  1.079456e-02
                         dage1st    dage1stcat       mage1st    mage1stcat
stepid              -0.019267258 -0.0010182565 -0.0072151663  3.631419e-03
dayscons_ade         0.018049612  0.0526207111 -0.0040754184  5.250263e-03
dayscons_weeks_ade   0.021789942  0.0543785162 -0.0013491726  1.118877e-02
dayscons_mini        0.010025312  0.0235040770 -0.0124515635 -1.937936e-02
dayscons_weeks_mini  0.015482379  0.0243851279 -0.0045333885 -1.397308e-02
dayscons_x           0.011412820  0.0166918161  0.0243642104 -8.186456e-03
dayscons_weeks_x     0.004924576  0.0155826408  0.0272794105 -6.838951e-03
dayscons_y           0.043239727  0.0165248940  0.0717536301  4.992718e-02
dayscons_weeks_y     0.043284668  0.0164705069  0.0717487984  4.981459e-02
certcode_ade         0.102133876  0.0135714761  0.0793882416  3.841445e-02
certcode_mini        0.109022855  0.0264392555  0.1019552381  6.226258e-02
certcode             0.066464040  0.0083129879  0.0653239318  2.326437e-02
deprmd              -0.050239394 -0.0159277439 -0.0598244869 -6.205711e-02
depsleep             0.027477385 -0.0129813322  0.0368566400  1.213216e-02
depsleepcat          0.078929228  0.0025877691  0.0649190675  2.834462e-02
depinter             0.038694541 -0.0131751494  0.0526850613  9.580029e-03
depguilt            -0.055282589  0.0139971294 -0.0292110501  1.252012e-02
depenerg             0.011447122 -0.0316390867  0.0056017780  1.106233e-02
depconcn             0.047536214 -0.0247471862  0.0800841535  4.424867e-02
depappet             0.007653521  0.0193984937 -0.0052807319  7.103412e-03
deppmr              -0.007568551  0.0193469280  0.0166678291  1.360178e-02
dage1st              1.000000000  0.4332533554  0.4587858265  2.934739e-01
dage1stcat           0.433253355  1.0000000000  0.1675340326  2.735162e-01
mage1st              0.458785826  0.1675340326  1.0000000000  6.623011e-01
mage1stcat           0.293473896  0.2735161793  0.6623010719  1.000000e+00
depsi               -0.052176488  0.0208039097 -0.0558394619 -1.002686e-02
depsicat            -0.039076845 -0.0062602227 -0.0716672426 -6.910028e-02
depsev              -0.096358290  0.0137270723 -0.0967810695 -3.194401e-02
depse                0.045543886 -0.0134909497  0.0495893170  2.645286e-02
depdist             -0.088872775 -0.0060044508 -0.1170558089 -6.975882e-02
deppma              -0.071007558  0.0170608228 -0.1136659262 -6.823799e-02
elvselfe             0.045536396 -0.0080566657  0.0324967996  1.113731e-02
elvsleep            -0.020608327 -0.0204913286  0.0088310229  1.082853e-02
elvtalk             -0.021956195  0.0354152455 -0.0688727302 -1.970443e-02
elvfoi              -0.096110762  0.0119585426 -0.1470844745 -4.710903e-02
elvdistr            -0.108228445  0.0004936850 -0.1516196078 -8.473161e-02
elvgdact             0.017992301  0.0151776502 -0.0369584696 -1.537072e-02
elvhrb              -0.078600795  0.0093349618 -0.1106339376 -4.840722e-02
elvpma              -0.080767675  0.0244542661 -0.1456884400 -6.161948e-02
majdepc             -0.024850462  0.0193585912 -0.0225356604  2.316389e-02
majdepp              0.084002661  0.0691094965  0.0567854889  4.298977e-02
moodgenc             0.046289050  0.0321968824  0.0577206021  5.256251e-02
moodgenp             0.046016931  0.0348412116  0.0543887042  5.413154e-02
moodsubc             0.048023237  0.0340313273  0.0627097813  5.266679e-02
moodsubp             0.045559853  0.0368488750  0.0575240439  5.892058e-02
manicc               0.014383543  0.0358906668  0.0320376263  5.195163e-02
hmanicc              0.025394172  0.0561797207  0.0105135289  4.714027e-02
manicp               0.031432421  0.0009809998  0.0863186630  6.238341e-02
hmanicp              0.023564710  0.0435639747  0.0005694237  3.230762e-02
typeiic              0.040314969  0.0460110923  0.0232488903  2.903546e-02
typeiip              0.055350904  0.0374631164  0.0242438576  2.291487e-02
clinstat             0.018591505 -0.0120103891  0.0411841092  5.264713e-03
manlast             -0.028754773  0.0714639965 -0.0480366096  3.247789e-02
deppast              0.034903133  0.1048392768 -0.0111740516  2.355900e-02
mangenc              0.046836410  0.0341165232  0.0661306808  5.681611e-02
mangenp              0.048654876  0.0368727863  0.0638734365  5.698755e-02
hypogenc             0.045262069  0.0323952483  0.0643040564  5.474298e-02
hypogenp             0.043748715  0.0300738873  0.0625165729  5.223345e-02
mansubc              0.046291921  0.0323258707  0.0640463286  5.449222e-02
mansubp              0.046961265  0.0334018712  0.0635109696  6.057446e-02
hyposubc             0.044996892  0.0371552665  0.0640350253  5.472089e-02
hyposubp             0.047635376  0.0473235636  0.0661343272  6.598036e-02
anxdisc              0.050391368  0.0321583114  0.0681692243  6.104026e-02
anxdisp              0.051864161  0.0317052377  0.0658589589  5.977110e-02
anxsubc              0.049628424  0.0377797681  0.0646261567  5.415974e-02
anxsubp              0.047525926  0.0392863373  0.0599700945  5.486377e-02
pdnoagc              0.028301480  0.0267154432  0.0398189373  3.772513e-02
pdnoagp              0.014286711  0.0304663475  0.0292659511  3.449619e-02
pdagorc              0.008597356  0.0462526639  0.0145863606  4.409207e-02
pdagorp             -0.013348619  0.0387165003  0.0089978273  3.802128e-02
agorc                0.010467558  0.0452788988  0.0282306052  3.244890e-02
agorp               -0.003413398  0.0512112425  0.0137207640  2.347301e-02
phobiac             -0.030140224  0.0409772466 -0.0069723619  2.031476e-02
phobiap             -0.043248107  0.0353562286 -0.0171712609  7.225700e-03
ocdcur               0.008639907  0.0222896635  0.0275924719  2.334609e-02
ocdc                 0.013983129  0.0259691520  0.0352332800  3.326438e-02
ocdpast             -0.003112092  0.0229675475  0.0167281066  1.897597e-02
ocdp                 0.002022541  0.0269704674  0.0264967951  3.009727e-02
ocdgenc              0.046371014  0.0287472081  0.0721279075  6.290756e-02
ocdgenp              0.049754638  0.0303967076  0.0735108259  6.307568e-02
ocdsubc              0.046796329  0.0290296667  0.0741476133  6.452648e-02
ocdsubp              0.047938316  0.0278275981  0.0749691189  6.430356e-02
ptsdcur             -0.015048861  0.0471378275  0.0237112065  4.245403e-02
ptsdc               -0.008050135  0.0514882427  0.0329700227  5.382104e-02
ptsdpast            -0.048965915  0.0372618772 -0.0130644655  7.205017e-03
ptsdp               -0.042594656  0.0408624197 -0.0044388837  1.750542e-02
alcdepc              0.004064892  0.0250235643  0.0124642463  1.339560e-02
alcdepp             -0.029489087  0.0213211761 -0.0228432018 -4.617089e-05
alcabusc            -0.003530553  0.0239788928 -0.0021442666  6.069733e-04
alcabusp            -0.014346269  0.0093263488 -0.0232835979 -2.223747e-02
drugdepc             0.014841829  0.0281216272  0.0231530406  1.679662e-02
drugdepp            -0.038060274  0.0240357582 -0.0449548636 -1.968504e-02
drugabc              0.003751796  0.0100897648  0.0116720371  1.549456e-02
drugabp             -0.031529233  0.0077451029 -0.0492638253 -2.016216e-02
psychp               0.041369168  0.0224597841  0.0605868355  4.599627e-02
bpsychp              0.045661120  0.0379884740  0.0633943503  5.513686e-02
ipsychp              0.045900803 -0.0037379327  0.0737529172  3.526236e-02
psychc               0.037476959  0.0277554905  0.0577860287  5.221656e-02
bpsychc              0.046012980  0.0367248282  0.0631210958  5.525330e-02
ipsychc              0.025702132  0.0171054041  0.0388188190  3.334145e-02
schizc               0.046292294  0.0328879979  0.0602380913  4.829363e-02
schizp               0.047092650  0.0328537027  0.0602477344  4.801062e-02
schaffc              0.045341653  0.0312907033  0.0609591965  4.934346e-02
schaffp              0.044329407  0.0327906071  0.0648871234  5.120885e-02
schphrc              0.045527710  0.0335020705  0.0646573733  5.371403e-02
schphrp              0.045527710  0.0335020705  0.0646573733  5.371403e-02
deldisc              0.046740884  0.0345763230  0.0654255121  5.432974e-02
deldisp              0.048778864  0.0380276882  0.0672776535  5.565485e-02
psygenc              0.047013359  0.0351289753  0.0641491023  5.351009e-02
psygenp              0.050242011  0.0358535624  0.0637759897  5.207778e-02
psysubc              0.045984935  0.0337574123  0.0645507015  5.361012e-02
psysubp              0.036489540  0.0367078764  0.0463112281  4.694656e-02
psynosc              0.044036131  0.0404091504  0.0602612427  5.310877e-02
psynosp              0.043169984  0.0385410143  0.0590828359  5.295965e-02
moodnosp             0.045352824  0.0307032783  0.0608891506  4.904401e-02
deppsyc              0.041889583  0.0328649933  0.0622574973  4.994286e-02
deppsyp              0.038854199  0.0300716458  0.0608390139  4.838812e-02
bulpurgc             0.037257141  0.0323247360  0.0468570421  4.568865e-02
bulpurgp             0.009848652  0.0215027371  0.0173198226  1.861005e-02
bulnonpc             0.047247510  0.0322932835  0.0601432481  5.942124e-02
bulnonpp             0.038453728  0.0344132109  0.0514284314  5.422917e-02
anbingec             0.050200501  0.0327070826  0.0607113725  5.447264e-02
anbingep             0.033311100  0.0230597306  0.0506109182  4.665732e-02
anrestrc             0.052940626  0.0346371356  0.0607113725  5.099597e-02
anrestrp             0.029748035  0.0235469253  0.0473154443  4.608780e-02
genanxc             -0.027248649  0.0405674311 -0.0246220320  1.866094e-02
genanxp             -0.030302903  0.0442265114 -0.0087106579  3.335491e-02
ganxgenc             0.051064765  0.0357946868  0.0630107874  5.416923e-02
ganxgenp             0.051485520  0.0357580555  0.0623966423  5.331635e-02
gadsubc              0.052191117  0.0344253666  0.0617715726  5.555271e-02
gadsubp              0.052608412  0.0343930359  0.0611601225  5.469334e-02
addkidc              0.024612892  0.0157318533  0.0578847069  4.251573e-02
addkidp              0.038862001  0.0261855113  0.0638402404  4.526005e-02
addadltc            -0.024610269  0.0370549780 -0.0481327405  1.965607e-02
addadltp            -0.030034363  0.0454801876 -0.0544159656  1.956738e-02
                            depsi      depsicat        depsev         depse
stepid               0.0080926018 -0.0151049584 -0.0123462142 -0.0087332819
dayscons_ade        -0.0008356326 -0.0514194773 -0.0097918995  0.0074350519
dayscons_weeks_ade   0.0003309501 -0.0453057185 -0.0107409936  0.0088574954
dayscons_mini       -0.0035536330  0.0240417745 -0.0035791768 -0.0368862000
dayscons_weeks_mini -0.0056026956  0.0205335624 -0.0068285840 -0.0285300986
dayscons_x          -0.0032358741  0.0130254187 -0.0159778856 -0.0434327221
dayscons_weeks_x    -0.0085555927  0.0091141135 -0.0148377489 -0.0465266463
dayscons_y           0.0031243628 -0.0834207393 -0.0182285031 -0.0009102136
dayscons_weeks_y     0.0031140645 -0.0824485966 -0.0183834802 -0.0010854654
certcode_ade        -0.0037735173  0.0926453179 -0.0310874837  0.0506867949
certcode_mini       -0.0096511003  0.0607466958 -0.0417155837  0.0601996203
certcode             0.0068515603  0.1709369030 -0.0436802229 -0.0148967665
deprmd               0.0604160801  0.6866508266  0.0226777525 -0.1172753181
depsleep             0.0028489822 -0.0250682679 -0.0285231949  0.0058903532
depsleepcat         -0.1028606789 -0.0543237915 -0.2204660679  0.1234297776
depinter            -0.3270512677 -0.1043064513 -0.4626981770  0.4903225337
depguilt             0.2665200702  0.1057816840  0.2730132764 -0.2960392153
depenerg            -0.2932081633 -0.0701330538 -0.4097855546  0.4643071965
depconcn            -0.2683372484 -0.1129840555 -0.3677844823  0.4279493724
depappet            -0.0492918475 -0.0310713153 -0.0999193797  0.0880967500
deppmr               0.1721465038  0.0725207648  0.2246747354 -0.1924907276
dage1st             -0.0521764882 -0.0390768453 -0.0963582896  0.0455438857
dage1stcat           0.0208039097 -0.0062602227  0.0137270723 -0.0134909497
mage1st             -0.0558394619 -0.0716672426 -0.0967810695  0.0495893170
mage1stcat          -0.0100268559 -0.0691002850 -0.0319440145  0.0264528635
depsi                1.0000000000  0.1576685601  0.3806906341 -0.3247143106
depsicat             0.1576685601  1.0000000000  0.0573879822 -0.1423790733
depsev               0.3806906341  0.0573879822  1.0000000000 -0.4250007875
depse               -0.3247143106 -0.1423790733 -0.4250007875  1.0000000000
depdist              0.1958530868  0.1107252250  0.2196819991 -0.2076179197
deppma               0.1936859133  0.0867346146  0.1836904571 -0.1639724917
elvselfe            -0.2662873756 -0.1083215149 -0.3059890320  0.6381299028
elvsleep             0.0599783599 -0.0020366909  0.1153591565 -0.0942321166
elvtalk              0.0056876701  0.0255547686 -0.0518979304  0.1132671635
elvfoi               0.1251797463  0.0658257615  0.1603189403 -0.0787141300
elvdistr             0.1891603318  0.1068561652  0.2420774362 -0.2184204382
elvgdact            -0.0928504173 -0.0521332324 -0.1059334829  0.2235351773
elvhrb               0.1196564746  0.0344405996  0.0945490645  0.0064919365
elvpma               0.1566245061  0.0819872014  0.1849029763 -0.1369018392
majdepc              0.2412086191  0.0631498395  0.3263762208 -0.2650143628
majdepp             -0.0039605677 -0.0400198814 -0.0009122844  0.0183066831
moodgenc             0.0000414942 -0.0254769922 -0.0084958463  0.0263659985
moodgenp             0.0026851273 -0.0237977138 -0.0075217729  0.0277901490
moodsubc            -0.0067381332 -0.0342231964 -0.0135962802  0.0312687284
moodsubp            -0.0001417717 -0.0261656131 -0.0147267961  0.0289461843
manicc               0.0179683145 -0.0318832552 -0.0072275653  0.0232542840
hmanicc             -0.0207389619 -0.0418189169 -0.0118255819  0.0751140929
manicp              -0.0202287764 -0.0647463548 -0.0434630078  0.0480866664
hmanicp             -0.0099028707 -0.0086272082  0.0090223804  0.0274811119
typeiic              0.0350793641  0.0160385534  0.0419401324 -0.0200056089
typeiip              0.0108504985 -0.0008880604 -0.0013325227  0.0137347671
clinstat            -0.3031732816 -0.1612398513 -0.4246297761  0.3688793463
manlast              0.0101897223  0.0719272253  0.1144979493 -0.0344141873
deppast              0.0450790001  0.0664451178  0.1404692249 -0.0722177765
mangenc             -0.0095062515 -0.0327858962 -0.0160678806  0.0322431897
mangenp             -0.0081626732 -0.0318405574 -0.0162703087  0.0289133857
hypogenc            -0.0099537800 -0.0334526835 -0.0168406474  0.0328295389
hypogenp            -0.0109231010 -0.0339466417 -0.0166571128  0.0350269781
mansubc             -0.0109231010 -0.0358179630 -0.0195198679  0.0353797227
mansubp              0.0018486175 -0.0248539054 -0.0200026322  0.0327213503
hyposubc            -0.0075377747 -0.0313710945 -0.0151212107  0.0299753124
hyposubp             0.0091920136 -0.0205175676 -0.0160642863  0.0272379203
anxdisc              0.0048641178 -0.0315918688 -0.0046299085  0.0294167608
anxdisp              0.0060480355 -0.0307235656 -0.0035074159  0.0200782846
anxsubc             -0.0073161933 -0.0363043478 -0.0157914060  0.0370942606
anxsubp             -0.0109095391 -0.0387463259 -0.0156255289  0.0374459974
pdnoagc              0.0157777865 -0.0197624027  0.0087113993  0.0097546980
pdnoagp              0.0187601532 -0.0231627273  0.0078992515  0.0009808414
pdagorc              0.0516712752 -0.0136810259  0.0709081480 -0.0349119524
pdagorp              0.0574307967 -0.0032143716  0.0784838225 -0.0399001237
agorc                0.0169876566 -0.0166014659  0.0105383846 -0.0016026340
agorp                0.0120125151 -0.0164580221  0.0093588763 -0.0052575798
phobiac              0.0721873820  0.0097942604  0.0980375015 -0.0693728007
phobiap              0.0597649033  0.0043278078  0.0730177107 -0.0581322116
ocdcur               0.0191521763 -0.0267035494  0.0327375039 -0.0140027693
ocdc                 0.0202205979 -0.0321691229  0.0391230422 -0.0127811024
ocdpast              0.0170348615 -0.0134736727  0.0231782548 -0.0180688770
ocdp                 0.0181352167 -0.0199227999  0.0292890973 -0.0164963559
ocdgenc             -0.0064774514 -0.0493573434 -0.0105607816  0.0356215649
ocdgenp             -0.0103997663 -0.0488788215 -0.0170341802  0.0383870339
ocdsubc             -0.0089768538 -0.0493573434 -0.0128588018  0.0342057709
ocdsubp             -0.0092333685 -0.0490635986 -0.0170375634  0.0365691038
ptsdcur              0.0572791368  0.0176424237  0.0787069478 -0.0437790959
ptsdc                0.0433664593  0.0058811514  0.0762631048 -0.0365874749
ptsdpast             0.0600194853  0.0239952256  0.0746291794 -0.0374861252
ptsdp                0.0492987862  0.0158978455  0.0731157090 -0.0322930098
alcdepc              0.0040512306 -0.0091340995  0.0254854315 -0.0049330659
alcdepp              0.0165730688 -0.0065572449  0.0315587788 -0.0216756857
alcabusc             0.0049305780 -0.0137735269  0.0190862685 -0.0018279082
alcabusp             0.0228671124  0.0247549959  0.0319145704  0.0036054738
drugdepc             0.0049938870 -0.0114302264  0.0062295817  0.0291439557
drugdepp             0.0133732842 -0.0154443561  0.0263468042  0.0045849333
drugabc              0.0022259004 -0.0167421425  0.0124569336  0.0340083626
drugabp              0.0163358843  0.0181795360  0.0277214993  0.0041743750
psychp              -0.0134637040 -0.0623357634 -0.0188306950  0.0404251404
bpsychp             -0.0221613528 -0.0472644881 -0.0239842083  0.0346807513
ipsychp             -0.0412853289 -0.0613638472 -0.0485062793  0.0388021582
psychc              -0.0189666071 -0.0456842174 -0.0171006383  0.0364955509
bpsychc             -0.0211399035 -0.0466086539 -0.0238371448  0.0365058185
ipsychc             -0.0089518205 -0.0250447716 -0.0097713183  0.0099840976
schizc              -0.0213643865 -0.0402431915 -0.0207032161  0.0360611532
schizp              -0.0213917956 -0.0373656136 -0.0228641776  0.0356982315
schaffc             -0.0145466928 -0.0480468203 -0.0212578287  0.0363236920
schaffp             -0.0147255534 -0.0473110590 -0.0222903397  0.0385419230
schphrc             -0.0199516811 -0.0475013211 -0.0249296296  0.0395346432
schphrp             -0.0199516811 -0.0475013211 -0.0249296296  0.0395346432
deldisc             -0.0211399035 -0.0466086539 -0.0260221144  0.0405442515
deldisp             -0.0219482204 -0.0478271377 -0.0274500408  0.0416285459
psygenc             -0.0207339096 -0.0468908150 -0.0247577355  0.0386514002
psygenp             -0.0221613528 -0.0462296322 -0.0256125673  0.0393624467
psysubc             -0.0215446707 -0.0481100336 -0.0267371712  0.0394071974
psysubp             -0.0182278425 -0.0393728312 -0.0251775023  0.0257614315
psynosc             -0.0201228538 -0.0455502010 -0.0194492567  0.0294576921
psynosp             -0.0116605624 -0.0491362203 -0.0148742804  0.0298749923
moodnosp            -0.0239604871 -0.0440597976 -0.0178007379  0.0397924914
deppsyc             -0.0144842375 -0.0459226502 -0.0210587645  0.0338090812
deppsyp             -0.0076167299 -0.0429870941 -0.0160732277  0.0237515158
bulpurgc            -0.0006800227 -0.0339291564 -0.0101920310  0.0313146296
bulpurgp             0.0138417103 -0.0260396908  0.0059119792 -0.0020593454
bulnonpc            -0.0090262406 -0.0374913127 -0.0147216862  0.0336705297
bulnonpp             0.0005842151 -0.0389660021 -0.0069988381  0.0274280334
anbingec            -0.0083118783 -0.0453379349 -0.0173821960  0.0313831525
anbingep            -0.0008295931 -0.0414532260 -0.0136708450  0.0249662980
anrestrc            -0.0089218260 -0.0447269603 -0.0207470130  0.0376022722
anrestrp             0.0005062298 -0.0390590877 -0.0099970177  0.0198134996
genanxc              0.0476350555  0.0176788421  0.0699828188 -0.0793441138
genanxp              0.0475144042  0.0148851788  0.0526547588 -0.0591396470
ganxgenc            -0.0106725990 -0.0437519721 -0.0145607579  0.0324359677
ganxgenp            -0.0115399882 -0.0440968980 -0.0166320627  0.0342707590
gadsubc             -0.0096226942 -0.0418873408 -0.0177543669  0.0367317059
gadsubp             -0.0104950071 -0.0422388225 -0.0198182758  0.0385548570
addkidc             -0.0419190176 -0.0937397169  0.0230010515  0.0445303476
addkidp             -0.0384250484 -0.0672242768  0.0046269902  0.0619335930
addadltc             0.0029281791 -0.0282940953  0.0176735196 -0.0017951392
addadltp             0.0023809211 -0.0264396410  0.0234399228  0.0017602694
                          depdist        deppma      elvselfe      elvsleep
stepid              -0.0065494954 -0.0219433726 -0.0177252712 -6.043127e-03
dayscons_ade         0.0492183553  0.0699014821 -0.0484999428  1.037548e-01
dayscons_weeks_ade   0.0516515983  0.0644474813 -0.0462275483  9.893662e-02
dayscons_mini        0.0511049317  0.0649489858 -0.0391553895  5.311512e-02
dayscons_weeks_mini  0.0422110247  0.0521289350 -0.0455782966  5.382270e-02
dayscons_x           0.0286862825  0.0193410703 -0.0362892789  2.322078e-02
dayscons_weeks_x     0.0299538711  0.0172233319 -0.0397434533  2.475292e-02
