                           stepid  dayscons_ade dayscons_weeks_ade
psynosc              0.0140231349  0.0311351667       3.088528e-02
psynosp              0.0110878058  0.0382943565       3.868032e-02
moodnosp             0.0078134863  0.0343207963       3.457982e-02
deppsyc              0.0150574712  0.0341739067       3.396514e-02
deppsyp              0.0169015712  0.0311443491       3.148763e-02
bulpurgc             0.0028664881  0.0534410891       5.038951e-02
bulpurgp             0.0098810361  0.0442593277       4.137565e-02
bulnonpc             0.0190601226  0.0488438841       4.674855e-02
bulnonpp             0.0192475468  0.0486410864       4.610170e-02
anbingec             0.0102995706  0.0456654665       4.443395e-02
anbingep             0.0177511215  0.0413791076       3.939958e-02
anrestrc             0.0091469864  0.0446552368       4.309843e-02
anrestrp             0.0058770286  0.0315376338       2.886428e-02
genanxc              0.0059663115  0.0637431521       5.941484e-02
genanxp              0.0082507676  0.0591444566       5.620385e-02
ganxgenc             0.0098197229  0.0406839568       3.915410e-02
ganxgenp             0.0108495865  0.0399933579       3.799761e-02
gadsubc              0.0072070044  0.0386735110       3.738254e-02
gadsubp              0.0082473432  0.0379882408       3.622980e-02
addkidc              0.0186164253  0.0431333600       4.293157e-02
addkidp              0.0057953271  0.0291928113       2.906973e-02
addadltc            -0.0076919476  0.0494786772       4.560928e-02
addadltp            -0.0044482779  0.0440111952       4.096474e-02
                    dayscons_mini dayscons_weeks_mini    dayscons_x
stepid              -3.161086e-03        -0.001261882 -9.560938e-03
dayscons_ade         2.902991e-01         0.280371401  1.091730e-01
dayscons_weeks_ade   2.808789e-01         0.276896843  1.070327e-01
dayscons_mini        1.000000e+00         0.974816566  1.763274e-01
dayscons_weeks_mini  9.748166e-01         1.000000000  1.668433e-01
dayscons_x           1.763274e-01         0.166843298  1.000000e+00
dayscons_weeks_x     1.763534e-01         0.170596918  9.811315e-01
dayscons_y           9.229641e-02         0.099841550  2.818239e-02
dayscons_weeks_y     9.239242e-02         0.099962019  2.819589e-02
certcode_ade         9.472142e-02         0.064028000  1.169875e-01
certcode_mini        2.083265e-01         0.264019950  1.097136e-01
certcode             1.466453e-01         0.134926887  7.343780e-02
deprmd               3.609703e-03        -0.010796647  4.544189e-03
depsleep            -3.463998e-02        -0.029195491 -6.286829e-03
depsleepcat         -1.786502e-02        -0.014767066 -1.340889e-02
depinter            -1.374434e-02        -0.006154881  1.353879e-02
depguilt             1.535179e-02         0.012355841 -1.097071e-02
depenerg            -2.474790e-02        -0.020065910 -3.351555e-03
depconcn            -6.446527e-02        -0.056902498 -8.776522e-03
depappet            -4.197841e-03        -0.000152111  1.403072e-02
deppmr               1.308401e-02         0.008443132 -2.102895e-02
dage1st              1.002531e-02         0.015482379  1.141282e-02
dage1stcat           2.350408e-02         0.024385128  1.669182e-02
mage1st             -1.245156e-02        -0.004533388  2.436421e-02
mage1stcat          -1.937936e-02        -0.013973079 -8.186456e-03
depsi               -3.553633e-03        -0.005602696 -3.235874e-03
depsicat             2.404177e-02         0.020533562  1.302542e-02
depsev              -3.579177e-03        -0.006828584 -1.597789e-02
depse               -3.688620e-02        -0.028530099 -4.343272e-02
depdist              5.110493e-02         0.042211025  2.868628e-02
deppma               6.494899e-02         0.052128935  1.934107e-02
elvselfe            -3.915539e-02        -0.045578297 -3.628928e-02
elvsleep             5.311512e-02         0.053822704  2.322078e-02
elvtalk              8.640430e-03        -0.001292138  9.354453e-04
elvfoi               5.050425e-02         0.033003917  1.654253e-02
elvdistr             6.276402e-02         0.049423229  1.926719e-02
elvgdact            -6.408342e-02        -0.068847882 -8.332367e-03
elvhrb               2.455397e-02         0.012948716  1.055155e-02
elvpma               5.464169e-02         0.043512398  1.050843e-02
majdepc              1.538141e-01         0.247740204  8.458523e-03
majdepp              1.809679e-01         0.323722977  1.106625e-02
moodgenc             1.959781e-01         0.341968549  2.360941e-05
moodgenp             1.996770e-01         0.343222741  4.505011e-03
moodsubc             2.023297e-01         0.348526951  8.785203e-03
moodsubp             2.031877e-01         0.342964660  4.806423e-03
manicc               1.619884e-01         0.283887646  1.295210e-02
hmanicc              1.530298e-01         0.271411965  1.198179e-02
manicp               1.537694e-01         0.265280313 -1.848478e-02
hmanicp              1.197421e-01         0.222188238  3.727276e-02
typeiic              1.357006e-01         0.240597464  1.386919e-02
typeiip              9.890674e-02         0.202544647  1.153410e-02
clinstat            -4.443193e-02        -0.034284881 -2.030688e-03
manlast              1.726661e-02         0.012881419  9.175661e-04
deppast             -6.023224e-06         0.009097971  9.694309e-03
mangenc              2.010350e-01         0.349149459  5.584861e-03
mangenp              1.992570e-01         0.345757034  5.578502e-03
hypogenc             2.001696e-01         0.348136874  5.310750e-03
hypogenp             1.985125e-01         0.345652218  6.347207e-03
mansubc              1.973803e-01         0.344399697  2.951625e-03
mansubp              1.792118e-01         0.311216129  1.076340e-02
hyposubc             2.016166e-01         0.348899263  4.726644e-03
hyposubp             1.824384e-01         0.317933336  1.929873e-02
anxdisc              2.059994e-01         0.351986933  2.620709e-03
anxdisp              2.017292e-01         0.345217524  1.108675e-03
anxsubc              2.081168e-01         0.356978273  4.183223e-03
anxsubp              2.056838e-01         0.351966934 -1.076956e-03
pdnoagc              1.762160e-01         0.303832228 -1.700974e-04
pdnoagp              1.735203e-01         0.286465710  7.295629e-03
pdagorc              1.838812e-01         0.301403629  3.394714e-02
pdagorp              1.951252e-01         0.297545602  4.552618e-02
agorc                1.826322e-01         0.305187324  1.616523e-02
agorp                1.699389e-01         0.284695689  5.352458e-03
phobiac              1.796837e-01         0.281791904  3.985589e-03
phobiap              1.894027e-01         0.284099868  1.239855e-02
ocdcur               1.616106e-01         0.281147902  1.252526e-02
ocdc                 1.645318e-01         0.279774013  1.115999e-02
ocdpast              1.600426e-01         0.271213574  2.246587e-02
ocdp                 1.635395e-01         0.271557693  2.262529e-02
ocdgenc              2.114742e-01         0.357116310  3.639808e-03
ocdgenp              2.114986e-01         0.357850389  3.327921e-03
ocdsubc              2.114742e-01         0.357116310  6.892107e-03
ocdsubp              2.088728e-01         0.354800452  5.383713e-03
ptsdcur              1.522718e-01         0.273366571  8.177588e-03
ptsdc                1.492405e-01         0.262076154  1.051700e-03
ptsdpast             1.478584e-01         0.251935184  2.258334e-02
ptsdp                1.460942e-01         0.245096520  1.907393e-02
alcdepc              1.599901e-01         0.272952840 -1.459187e-02
alcdepp              1.485114e-01         0.247463457 -1.524700e-02
alcabusc             1.638686e-01         0.274723360 -2.008611e-02
alcabusp             1.598940e-01         0.256422241 -9.421297e-03
drugdepc             1.782421e-01         0.292508933 -1.371545e-02
drugdepp             1.748842e-01         0.268465542 -1.789553e-03
drugabc              1.796752e-01         0.289787133 -7.985490e-03
drugabp              1.681414e-01         0.263385329  3.948531e-03
psychp               1.605603e-01         0.290343557 -9.724133e-03
bpsychp              1.826863e-01         0.322545114  9.679573e-03
ipsychp              1.557009e-01         0.253687852 -5.300491e-03
psychc               1.798126e-01         0.317982751  6.224138e-03
bpsychc              1.805413e-01         0.321309661  7.353909e-03
ipsychc              2.038501e-01         0.320021549  5.231151e-03
schizc               1.863282e-01         0.326917010  9.888316e-03
schizp               1.856625e-01         0.325447169  1.151097e-02
schaffc              1.798255e-01         0.319335831  5.470368e-03
schaffp              1.808317e-01         0.317513775  3.273486e-03
schphrc              1.796273e-01         0.320712177  6.764899e-03
schphrp              1.796273e-01         0.320712177  6.764899e-03
deldisc              1.796273e-01         0.320712177  6.691272e-03
deldisp              1.784273e-01         0.318949353  6.685573e-03
psygenc              1.803976e-01         0.321599388  6.952273e-03
psygenp              1.791362e-01         0.319576595  5.728910e-03
psysubc              1.794409e-01         0.320425374  6.431126e-03
psysubp              1.816986e-01         0.311860257  1.727699e-02
psynosc              1.842545e-01         0.323028085  6.543515e-03
psynosp              1.846206e-01         0.317793817  3.565714e-03
moodnosp             1.851977e-01         0.323690973  6.239308e-03
deppsyc              1.832920e-01         0.323357725  7.820863e-03
deppsyp              1.792428e-01         0.315689183  1.136206e-02
bulpurgc             1.908050e-01         0.323271471  5.404094e-03
bulpurgp             1.620614e-01         0.278364831  2.517833e-02
bulnonpc             2.010249e-01         0.340067016  4.058162e-03
bulnonpp             1.938166e-01         0.329189022  9.051758e-03
anbingec             2.012095e-01         0.343460830  4.338657e-03
anbingep             1.895477e-01         0.325237452  4.521702e-03
anrestrc             1.969444e-01         0.339780369  9.371602e-04
anrestrp             1.835263e-01         0.313354268  5.505363e-03
genanxc              1.717006e-01         0.271823391  1.982893e-02
genanxp              1.783764e-01         0.274042942  2.840067e-02
ganxgenc             1.991730e-01         0.342650802  2.475107e-03
ganxgenp             1.988803e-01         0.341961627  2.028568e-03
gadsubc              2.004376e-01         0.344234101  2.433174e-03
gadsubp              2.001387e-01         0.343535963  1.986008e-03
addkidc              1.557320e-01         0.267005964  1.374090e-03
addkidp              1.433958e-01         0.260060036  4.497697e-03
addadltc             1.588374e-01         0.269075224 -2.379231e-02
addadltp             1.621261e-01         0.266691538 -2.900311e-02
                    dayscons_weeks_x    dayscons_y dayscons_weeks_y
stepid                 -0.0061485572  0.0002800017     0.0003698700
dayscons_ade            0.1153602053  0.0339251754     0.0337652179
dayscons_weeks_ade      0.1133201389  0.0361757006     0.0360454389
dayscons_mini           0.1763534039  0.0922964124     0.0923924232
dayscons_weeks_mini     0.1705969180  0.0998415498     0.0999620185
