              depresd       lessint     moodelev      curdepr     curenjoy
curirrit  0.0221312555  0.047230052  0.0201871958  0.026434713  0.0205715922
abnanx    0.0070317524  0.011815730  0.0237152780  0.016896957  0.0113387508
deprmd    0.0009147439  0.026347444  0.0136405238  0.003852922  0.0048654475
depsleep  1.0000000000  0.099963238  0.0708086200  0.033216348  0.0832459954
depinter  0.0999632380  1.000000000  0.1509274812  0.121906482  0.2074103272
depguilt  0.0708086200  0.150927481  1.0000000000  0.205148992  0.0955264096
depse     0.0332163478  0.121906482  0.2051489917  1.000000000  0.0806782569
depenerg  0.0832459954  0.207410327  0.0955264096  0.080678257  1.0000000000
depconcn  0.0564948525  0.151604001  0.1509986988  0.099926409  0.1369825033
depdist   0.0392031103  0.110012443  0.1798952146  0.384310348  0.1033396425
depappet  0.1526770999  0.158904473  0.1165377124  0.095498205  0.1100244406
deppmr    0.0553456943  0.122447434  0.1670668938  0.116727436  0.0886596307
deppma    0.0644415367  0.128069213  0.1727677606  0.346300575  0.0818395631
elvselfe  0.0496538300  0.132339756  0.1068492481  0.106681735  0.0549527246
elvsleep  0.0904116541  0.123068271  0.1282533311  0.088209461  0.0409216164
elvtalk   0.0633943945  0.112262799  0.0663922418  0.085102450  0.0975425830
elvfoi    0.0575209912  0.071793697  0.0465230798  0.075123871  0.0548423605
elvdistr  0.0552764449  0.158479229  0.0942061677  0.084842919  0.1250744670
elvgdact  0.0198689875  0.050390535  0.0974550728  0.059305756  0.0466445559
elvpma    0.0386782444  0.102356140  0.1493950293  0.304956671  0.0558153813
elvhrb    0.0658065626  0.080076141  0.0766669392  0.072906222  0.0445779509
depsi     0.0540386918  0.053147300  0.0623742348  0.031520962  0.0933889597
silnwl    0.0054907117 -0.033720352  0.0004123690 -0.022864505 -0.0266414155
sipassiv  0.0054750512 -0.033657118 -0.0009358476 -0.022961288 -0.0266812818
siactive  0.0055580760 -0.033604621 -0.0004237543 -0.023717657 -0.0265589998
depslmin  0.0564308573  0.011659599  0.0531701188  0.060737052  0.0007970973
