                  tryhsui       deprmd     depsleep  depsleepcat      depinter
bulpurgp    -0.016721617  0.16346550 -0.009305161 -0.01151456 -0.017560998
bulnonpc    -0.016428907  0.16357078 -0.009052420 -0.01129075 -0.017395991
bulnonpp    -0.016427078  0.16355477 -0.009058182 -0.01127258 -0.017370901
anbingec    -0.016643503  0.16396343 -0.008896102 -0.01117718 -0.017200090
anbingep    -0.016446699  0.16350692 -0.009069779 -0.01125388 -0.017378928
anrestrc    -0.016625279  0.16396393 -0.008880007 -0.01118123 -0.017201495
anrestrp    -0.016416310  0.16345769 -0.009004493 -0.01124080 -0.017357088
genanxc     -0.016968673  0.15783725 -0.009018306 -0.01145953 -0.017343082
genanxp     -0.016401874  0.16228088 -0.009138920 -0.01147859 -0.017309877
ganxgenc    -0.016632607  0.15905420 -0.008883911 -0.01150338 -0.017200681
ganxgenp    -0.016629124  0.15905636 -0.008883454 -0.01150085 -0.017198881
gadsubc     -0.016630143  0.15905312 -0.008884140 -0.01150626 -0.017207906
gadsubp     -0.016626660  0.15905528 -0.008883683 -0.01150374 -0.017206106
addkidc     -0.011147021  0.11234566 -0.011092917 -0.01587040 -0.022713794
addkidp     -0.009348302  0.12389155 -0.012177133 -0.01444044 -0.022751812
addadltc    -0.015668788  0.16045402 -0.009404979 -0.01098693 -0.017105927
addadltp    -0.015649418  0.16053541 -0.009362261 -0.01094279 -0.017037815
               elvdistr     elvgdact       elvhrb        elvpma      majdepc
tryhsui     -0.02514952 -0.003335531 -0.008327047  0.0101452498  0.063042376
deprmd       0.02666633 -0.010933918  0.038060298  0.0108892038 -0.080794741
depsleep     0.58738704  0.290780582  0.528975697  0.3041722419  0.032656084
depsleepcat  0.46425577  0.228548985  0.417096387  0.2376545102  0.028930487
depinter     0.51262802  0.254514538  0.466145919  0.2623195509  0.050293905
depguilt     0.28422592  0.183593866  0.259254845  0.1967445009  0.026346976
depconcn     0.47998466  0.241640731  0.441647986  0.2516447147 -0.013389012
depappet     0.59398055  0.289080395  0.535540310  0.3073673614 -0.010833335
deppmr       0.42524179  0.341066353  0.383995201  0.2933168920 -0.018602167
dage1st      0.03495233  0.035876360  0.029788482  0.0623827449  0.080375642
dage1stcat   0.04657926  0.035568847  0.038719010  0.0723247372  0.080945744
mage1st      0.03124038  0.019289117  0.028349740  0.0542310240  0.093006121
mage1stcat   0.04318095  0.028415981  0.046590708  0.0667411543  0.091627932
depsi        0.66381659  0.318284481  0.594825968  0.3444653535  0.012476227
depsicat     0.02926901 -0.003154466  0.041811063  0.0169645601 -0.084634583
depenerg     0.59488595  0.294317415  0.539616361  0.3073222566 -0.009174971
depsev       0.08725697  0.014282931  0.041715868  0.0746068457  0.015658201
depse        0.34944213  0.230067485  0.318720501  0.3036314913  0.035107739
depdist      0.47376390  0.165653717  0.315337267  0.3637069136  0.014129874
deppma       0.32750265  0.256990631  0.292571077  0.4513263159 -0.002914251
elvselfe     0.72407011  0.359970545  0.656901139  0.3749687143 -0.017333684
hxsui        0.07211524  0.071988806  0.070624041  0.0294641339  0.154940646
elvsleep     0.83606178  0.411146858  0.754942674  0.4362303029 -0.009491019
elvtalk      0.84852729  0.414484648  0.764065333  0.4386010489 -0.010815449
elvfoi       0.74130366  0.356708063  0.665883971  0.3848132099 -0.017070667
elvdistr     1.00000000  0.353229313  0.663754667  0.3843825868 -0.017691430
elvgdact     0.35322931  1.000000000  0.540814269  0.3663180423 -0.022217518
elvhrb       0.66375467  0.540814269  1.000000000  0.5756430654 -0.013298815
elvpma       0.38438259  0.366318042  0.575643065  1.0000000000 -0.007759109
majdepc     -0.01769143 -0.022217518 -0.013298815 -0.0077591086  1.000000000
majdepp     -0.01854360 -0.021969641 -0.013433975 -0.0083456736  0.998289539
moodgenc    -0.01803624 -0.021954627 -0.013207905 -0.0082220388  0.996734174
moodgenp    -0.01802817 -0.021952132 -0.013205336 -0.0082186484  0.996732445
moodsubc    -0.01793193 -0.021981196 -0.013204336 -0.0082474087  0.995177092
moodsubp    -0.01791294 -0.021959725 -0.013190613 -0.0082239412  0.995172998
manicc      -0.01775333 -0.022065878 -0.013048352 -0.0082238275  0.995129073
hmanicc     -0.01828231 -0.021943200 -0.013184650 -0.0080869659  0.995142646
manicp      -0.01873366 -0.021985425 -0.013448319 -0.0082457170  0.993455792
hmanicp     -0.01821745 -0.021988739 -0.013261772 -0.0080890949  0.995061172
typeiic     -0.01793903 -0.022094518 -0.013032881  0.0062823169  0.990379113
typeiip     -0.01822367 -0.022338541 -0.013230743  0.0059405651  0.990340033
clinstat    -0.02656484  0.014284359  0.001922630 -0.0101071356  0.013219880
manlast      0.02777249  0.064360857  0.031248897  0.0514371941  0.050566559
deppast      0.02010525  0.050054749  0.021872308  0.0704397860  0.092604355
mangenc     -0.01800519 -0.021988627 -0.013207604 -0.0082827025  0.995145872
mangenp     -0.01800567 -0.021985940 -0.013207030 -0.0084261298  0.995145455
hypogenc    -0.01800601 -0.021988042 -0.013207461 -0.0082824896  0.995145608
hypogenp    -0.01800310 -0.021985463 -0.013204193 -0.0082788487  0.995144609
mansubc     -0.01800169 -0.021983037 -0.013202918 -0.0082762723  0.995144609
mansubp     -0.01799849 -0.021929405 -0.013179397 -0.0083717285  0.995133670
hyposubc    -0.01799582 -0.021983514 -0.013205755 -0.0082789064  0.995145455
hyposubp    -0.01796340 -0.021925094 -0.013179061 -0.0082250437  0.995134571
anxdisc     -0.01842972 -0.022169354 -0.013219059 -0.0083673287  0.991995996
anxdisp     -0.01842459 -0.022294075 -0.013210367 -0.0083521038  0.991995296
anxsubc     -0.01843309 -0.022044599 -0.013220928 -0.0083745342  0.991996623
anxsubp     -0.01842559 -0.022035390 -0.013214664 -0.0083661829  0.991995620
pdnoagc     -0.01862281 -0.022092776 -0.013423543 -0.0084247783  0.988824867
pdnoagp     -0.01854130 -0.022257142 -0.013373110 -0.0084853341  0.988777575
pdagorc     -0.01843437 -0.022038115 -0.013060132 -0.0081257488  0.988819905
pdagorp     -0.01832519 -0.021906558 -0.012964853 -0.0079678790  0.988809723
agorc       -0.01860468 -0.022073867 -0.013133274 -0.0082446359  0.988819846
agorp       -0.01855771 -0.022002660 -0.013101426 -0.0081805165  0.988809053
phobiac     -0.01863205 -0.021963064 -0.013166346 -0.0084552623  0.982552061
phobiap     -0.01867961 -0.021930791 -0.013072185 -0.0083707110  0.982506550
ocdcur      -0.01808590 -0.021758979 -0.013131965 -0.0079845579  0.988850048
ocdc        -0.01818269 -0.022218553 -0.013330137 -0.0086333838  0.979499985
ocdpast     -0.01804145 -0.021652387 -0.013069526 -0.0078954785  0.988806441
ocdp        -0.01824276 -0.022091406 -0.013275262 -0.0085366256  0.980984140
ocdgenc     -0.01837863 -0.022250938 -0.013452878 -0.0087620417  0.981073468
ocdgenp     -0.01849431 -0.022226597 -0.013459786 -0.0087556027  0.982607700
ocdsubc     -0.01838003 -0.022250938 -0.013452878 -0.0087635121  0.981073150
ocdsubp     -0.01849115 -0.022225186 -0.013459353 -0.0087553276  0.982607346
ptsdcur     -0.01836399 -0.021622413 -0.013067322 -0.0079652605  0.988857230
ptsdc       -0.01896740 -0.022219527 -0.013351035 -0.0091980785  0.970344046
ptsdpast    -0.01818479 -0.021769321 -0.012880769 -0.0078382614  0.988836889
ptsdp       -0.01889987 -0.022339930 -0.013173538 -0.0090646251  0.971813003
alcdepc     -0.01859104 -0.022131595 -0.013292232 -0.0088423896  0.979505783
alcdepp     -0.01900102 -0.022081314 -0.013398007 -0.0088899462  0.979414287
alcabusc    -0.01867332 -0.022055897 -0.013284985 -0.0087992718  0.979398640
alcabusp    -0.01904429 -0.022052145 -0.013558839 -0.0087729770  0.977793833
drugdepc    -0.01904972 -0.022230479 -0.013423579 -0.0095907125  0.971912372
drugdepp    -0.01862355 -0.021998735 -0.013208172 -0.0092559327  0.970344597
drugabc     -0.01906640 -0.022075383 -0.013399541 -0.0095764400  0.968787185
drugabp     -0.01877035 -0.021805870 -0.013414312 -0.0089970173  0.974774611
psychp      -0.01864261 -0.022322273 -0.013988544 -0.0093379680  0.971915845
bpsychp     -0.01887069 -0.022375774 -0.014005779 -0.0094441256  0.971924464
ipsychp     -0.01929803 -0.022699703 -0.014522558 -0.0097023121  0.968717247
psychc      -0.01868781 -0.022338926 -0.014012482 -0.0092780934  0.973436593
bpsychc     -0.01887231 -0.022376040 -0.014007615 -0.0094457078  0.971924775
ipsychc     -0.01876092 -0.022405174 -0.014185267 -0.0096234491  0.971918293
schizc      -0.01870296 -0.022350571 -0.014014365 -0.0092935930  0.973435240
schizp      -0.01870540 -0.022348489 -0.014013930 -0.0092929516  0.973434533
schaffc     -0.01886272 -0.022375061 -0.013996542 -0.0094413054  0.971923759
schaffp     -0.01886168 -0.022367796 -0.013993982 -0.0094368384  0.971922279
schphrc     -0.01887231 -0.022377066 -0.014007615 -0.0094486119  0.971924460
schphrp     -0.01887231 -0.022377066 -0.014007615 -0.0094486119  0.971924460
deldisc     -0.01887370 -0.022374331 -0.014007615 -0.0094471598  0.971924460
deldisp     -0.01887393 -0.022372489 -0.014007326 -0.0094449167  0.971924304
psygenc     -0.01887289 -0.022376962 -0.014007760 -0.0094480999  0.971924696
psygenp     -0.01887347 -0.022372356 -0.014005779 -0.0094448516  0.971923520
psysubc     -0.01887382 -0.022374777 -0.014007471 -0.0094476718  0.971924225
psysubp     -0.01885301 -0.022340081 -0.013986456 -0.0095544387  0.971919204
psynosc     -0.01885462 -0.022369743 -0.013997271 -0.0094257994  0.971924401
psynosp     -0.01884595 -0.022347895 -0.013976151 -0.0094042216  0.971921133
moodnosp    -0.01869174 -0.022348356 -0.014010493 -0.0092845281  0.973435637
deppsyc     -0.01869903 -0.022352833 -0.014006520 -0.0092909847  0.973436344
deppsyp     -0.01868747 -0.022341236 -0.014002994 -0.0092823484  0.973435430
bulpurgc    -0.01873048 -0.022233103 -0.013516608 -0.0088958187  0.981082916
bulpurgp    -0.01890669 -0.022261436 -0.013689432 -0.0089263048  0.981069517
bulnonpc    -0.01875387 -0.022266740 -0.013540764 -0.0089209698  0.981116258
bulnonpp    -0.01873362 -0.022245526 -0.013523374 -0.0089026762  0.981114685
anbingec    -0.01887578 -0.022107183 -0.013549923 -0.0089235950  0.982634177
anbingep    -0.01874993 -0.022235063 -0.013525620 -0.0089011519  0.981111677
anrestrc    -0.01887857 -0.022110631 -0.013549288 -0.0089250598  0.982633860
anrestrp    -0.01870454 -0.022208587 -0.013502709 -0.0088759120  0.981107998
genanxc     -0.01859265 -0.022095188 -0.013655372 -0.0092573553  0.981076019
genanxp     -0.01880064 -0.022027984 -0.013686995 -0.0093491311  0.979556724
ganxgenc    -0.01888032 -0.022110311 -0.013682927 -0.0089996733  0.985745969
ganxgenp    -0.01888196 -0.022107076 -0.013682638 -0.0089977800  0.985745785
gadsubc     -0.01888161 -0.022113308 -0.013682438 -0.0090013523  0.985745584
gadsubp     -0.01888324 -0.022110073 -0.013682148 -0.0089994590  0.985745401
addkidc     -0.02408818 -0.021630991 -0.021157758  0.0009894925  0.702175976
addkidp     -0.02415664 -0.029964766 -0.019862384  0.0035338383  0.740395479
addadltc    -0.01852511 -0.022164973 -0.013468419 -0.0090769770  0.965982106
addadltp    -0.01845292 -0.022103365 -0.013412915 -0.0090133524  0.965974675
                 majdepp     moodgenc     moodgenp     moodsubc     moodsubp
tryhsui      0.062828736  0.064072315  0.064066588  0.064715210  0.064664536
deprmd      -0.082891233 -0.080231286 -0.080206028 -0.079200957 -0.079181103
depsleep     0.032668050  0.032717152  0.032727957  0.032603211  0.032634681
depsleepcat  0.030909590  0.029718405  0.029740060  0.029073011  0.029139105
depinter     0.051359980  0.051168701  0.051167872  0.050973037  0.050983132
depguilt     0.026670763  0.026867177  0.026877361  0.026727919  0.026642938
depconcn    -0.012994151 -0.013016695 -0.013015880 -0.013138240 -0.013129041
depappet    -0.010699569 -0.010597006 -0.010598070 -0.010630896 -0.010613993
deppmr      -0.018651793 -0.018557467 -0.018555245 -0.018561213 -0.018538027
dage1st      0.082598385  0.081676841  0.081696365  0.084426690  0.084430393
dage1stcat   0.082797650  0.081601017  0.081626072  0.084442563  0.084454322
mage1st      0.094517675  0.094980798  0.094984663  0.094775650  0.094810177
mage1stcat   0.092532767  0.092826663  0.092846491  0.092549777  0.092615182
depsi        0.011788440  0.012092437  0.012097828  0.012080470  0.012095629
depsicat    -0.086783018 -0.083679406 -0.083660029 -0.082575204 -0.082567416
depenerg    -0.007854363 -0.008135824 -0.008123893 -0.008374603 -0.008365996
depsev       0.012067124  0.012352683  0.012367857  0.011907114  0.011889687
depse        0.035730801  0.035552700  0.035559046  0.035453217  0.035466843
depdist      0.014079691  0.014491854  0.014499161  0.014453385  0.014475745
deppma      -0.002827569 -0.002899884 -0.002894192 -0.002942943 -0.002916765
elvselfe    -0.016606737 -0.017082554 -0.017071709 -0.017017742 -0.016995838
hxsui        0.155969507  0.156083539  0.156095424  0.155713336  0.155704378
elvsleep    -0.009793636 -0.009792109 -0.009787586 -0.009803263 -0.009794907
elvtalk     -0.010854657 -0.010642508 -0.010644938 -0.010589967 -0.010580061
elvfoi      -0.017347641 -0.016749583 -0.016747107 -0.016672839 -0.016660796
elvdistr    -0.018543600 -0.018036236 -0.018028170 -0.017931934 -0.017912939
elvgdact    -0.021969641 -0.021954627 -0.021952132 -0.021981196 -0.021959725
elvhrb      -0.013433975 -0.013207905 -0.013205336 -0.013204336 -0.013190613
elvpma      -0.008345674 -0.008222039 -0.008218648 -0.008247409 -0.008223941
majdepc      0.998289539  0.996734174  0.996732445  0.995177092  0.995172998
majdepp      1.000000000  0.995249560  0.995248460  0.993681881  0.993678040
moodgenc     0.995249560  1.000000000  0.999997914  0.998424710  0.998420083
moodgenp     0.995248460  0.999997914  1.000000000  0.998423361  0.998419994
moodsubc     0.993681881  0.998424710  0.998423361  1.000000000  0.999995390
moodsubp     0.993678040  0.998420083  0.998419994  0.999995390  1.000000000
manicc       0.993659091  0.998399349  0.998398178  0.996831678  0.996828497
hmanicc      0.993675630  0.992134124  0.992132551  0.990572593  0.990568895
manicp       0.995142472  0.990439235  0.990438099  0.988870085  0.988868249
hmanicp      0.993596341  0.992044447  0.992044352  0.990494969  0.990491954
typeiic      0.988899234  0.993654901  0.993653632  0.992094663  0.992090522
typeiip      0.988884253  0.993633423  0.993632278  0.992075562  0.992070792
clinstat     0.019883301  0.017984601  0.017642241  0.017102203  0.016757029
manlast      0.051785235  0.052016443  0.052012332  0.054587240  0.054589563
deppast      0.092182847  0.095037949  0.095045733  0.096992967  0.096974371
mangenc      0.993682815  0.998425516  0.998424171  0.996856042  0.996851731
mangenp      0.993682322  0.998424871  0.998423844  0.996855438  0.996851438
hypogenc     0.993682691  0.998425354  0.998424009  0.996855891  0.996851578
hypogenp     0.993682076  0.998424549  0.998423521  0.996855137  0.996850811
mansubc      0.993681441  0.998424549  0.998423199  0.996855137  0.996850811
mansubp      0.993671464  0.998411377  0.998410277  0.996843483  0.996841491
hyposubc     0.993682322  0.998424871  0.998423523  0.996855438  0.996851117
hyposubp     0.993672097  0.998413063  0.998411973  0.996844414  0.996840208
anxdisc      0.993671644  0.995264049  0.995262697  0.993699692  0.993695677
anxdisp      0.993669844  0.995261796  0.995260430  0.993697606  0.993693548
anxsubc      0.993673125  0.995265897  0.995264556  0.993701405  0.993697104
anxsubp      0.993672212  0.995264758  0.995263410  0.993700349  0.993696026
pdnoagc      0.990506404  0.992095645  0.992094286  0.990535745  0.990532033
pdnoagp      0.990460701  0.992077707  0.992076538  0.990520060  0.990517208
pdagorc      0.990493307  0.992080067  0.992078918  0.990521871  0.990518437
pdagorp      0.990476931  0.992059206  0.992057872  0.990503245  0.990500181
agorc        0.990502398  0.992091231  0.992090163  0.990531716  0.990527903
agorp        0.990491873  0.992079741  0.992078586  0.990521285  0.990517513
phobiac      0.984214702  0.985829645  0.985828624  0.984279486  0.984277744
phobiap      0.984202651  0.985811791  0.985811196  0.984232622  0.984232428
ocdcur       0.990492949  0.992073144  0.992072149  0.990517325  0.990513348
ocdc         0.981131364  0.982716018  0.982715620  0.981167815  0.981165770
ocdpast      0.990452201  0.992061697  0.992060905  0.990475051  0.990471337
ocdp         0.982633593  0.984247055  0.984246775  0.982666862  0.982664808
ocdgenc      0.982698231  0.984287297  0.984286392  0.982735009  0.982732113
ocdgenp      0.984248131  0.985836899  0.985835907  0.984283187  0.984280013
ocdsubc      0.982698231  0.984287297  0.984286392  0.982735009  0.982732113
ocdsubp      0.984247850  0.985836534  0.985835540  0.984282854  0.984279671
ptsdcur      0.990487819  0.992072229  0.992070245  0.990515980  0.990511945
ptsdc        0.971996061  0.973586524  0.973585659  0.972046309  0.972045832
ptsdpast     0.990467130  0.992045404  0.992043726  0.990460709  0.990457513
ptsdp        0.973479988  0.975064082  0.975063431  0.973494526  0.973494601
alcdepc      0.981186278  0.982775852  0.982775204  0.981226716  0.981225212
alcdepp      0.981118623  0.982726115  0.982726465  0.981152668  0.981152754
alcabusc     0.981092095  0.982679217  0.982678132  0.981131971  0.981129771
alcabusp     0.979524654  0.981068433  0.981068298  0.979498659  0.979498526
drugdepc     0.973613043  0.975205679  0.975205213  0.973662875  0.973663291
drugdepp     0.972016406  0.973635274  0.973635760  0.972067432  0.972069365
drugabc      0.970470542  0.972060542  0.972060451  0.970522986  0.970522956
drugabp      0.976443697  0.978024116  0.978024141  0.976454413  0.976453912
psychp       0.970635563  0.975330986  0.975330692  0.973785918  0.973785620
bpsychp      0.970641848  0.975339791  0.975339553  0.973793717  0.973792968
ipsychp      0.967457245  0.972139455  0.972139023  0.970604259  0.970604709
psychc       0.972132520  0.976833826  0.976833494  0.975286832  0.975285778
bpsychc      0.970642236  0.975340329  0.975340095  0.973794215  0.973793476
ipsychc      0.970624565  0.975320166  0.975319798  0.973775992  0.973775458
schizc       0.972134092  0.976835575  0.976835253  0.975288130  0.975287111
schizp       0.972133801  0.976835170  0.976834846  0.975287756  0.975286729
schaffc      0.970641558  0.975339388  0.975339147  0.973793345  0.973792588
schaffp      0.970640066  0.975338184  0.975337936  0.973792233  0.973791452
schphrc      0.970642236  0.975340329  0.975340095  0.973794215  0.973793476
schphrp      0.970642236  0.975340329  0.975340095  0.973794215  0.973793476
deldisc      0.970642236  0.975340329  0.975340095  0.973794215  0.973793476
deldisp      0.970641729  0.975340060  0.975339824  0.973793966  0.973793222
psygenc      0.970642333  0.975340464  0.975340231  0.973794339  0.973793604
psygenp      0.970641535  0.975339791  0.975339553  0.973793717  0.973792968
psysubc      0.970641826  0.975340195  0.975339959  0.973794406  0.973793665
psysubp      0.970636400  0.975333051  0.975332771  0.973787819  0.973786932
psynosc      0.970640475  0.975338317  0.975338070  0.973792357  0.973791578
psynosp      0.970637361  0.975333962  0.975333687  0.973788974  0.973788106
moodnosp     0.972132979  0.976834900  0.976834574  0.975287507  0.975286475
deppsyc      0.972133270  0.976835305  0.976834981  0.975287880  0.975286856
deppsyp      0.972131344  0.976832625  0.976832285  0.975285407  0.975284329
bulpurgc     0.982773994  0.984399538  0.984398758  0.982845576  0.982843082
bulpurgp     0.982757891  0.984380798  0.984380528  0.982828387  0.982826439
bulnonpc     0.982808766  0.984403192  0.984402435  0.982848951  0.982847167
bulnonpp     0.982806188  0.984399940  0.984399163  0.982845948  0.982844417
anbingec     0.984343436  0.985937690  0.985936860  0.984381879  0.984379225
anbingep     0.982805976  0.984399672  0.984398893  0.982845700  0.982843208
anrestrc     0.984343120  0.985937690  0.985936860  0.984381879  0.984379225
anrestrp     0.982800954  0.984394903  0.984394412  0.982841304  0.982839669
genanxc      0.982821637  0.984411543  0.984410091  0.982861807  0.982859759
genanxp      0.981290330  0.982875938  0.982875029  0.981330054  0.981328975
ganxgenc     0.987472329  0.989069232  0.989068317  0.987509475  0.987506546
ganxgenp     0.987472088  0.989068935  0.989068018  0.987509199  0.987506264
gadsubc      0.987472766  0.989069381  0.989068467  0.987509614  0.987506687
gadsubp      0.987472524  0.989069084  0.989068167  0.987509337  0.987506405
addkidc      0.703660013  0.705063332  0.705081128  0.703705694  0.703762996
addkidp      0.742086483  0.743491830  0.743506598  0.742108568  0.742156121
addadltc     0.967644131  0.969205922  0.969205367  0.967668981  0.967670433
addadltp     0.967636586  0.969196438  0.969196111  0.967660558  0.967662673
                  manicc      hmanicc       manicp      hmanicp      typeiic
tryhsui      0.064569972  0.063628186  0.062664262  0.064394920  0.065841893
deprmd      -0.079419975 -0.080845381 -0.082782178 -0.079715650 -0.079081915
depsleep     0.032471622  0.032231786  0.032765997  0.032158984  0.032543949
depsleepcat  0.028902967  0.029836296  0.031571496  0.029734730  0.028090014
depinter     0.051079972  0.051101292  0.051235763  0.051210661  0.051058259
depguilt     0.026701436  0.026493507  0.026451739  0.026794900  0.027025195
depconcn    -0.013195690 -0.012845125 -0.013124326 -0.012577614 -0.012994928
depappet    -0.010793925 -0.010654087 -0.010831149 -0.010442649 -0.010521225
deppmr      -0.018885455 -0.018844636 -0.019016382 -0.018717401 -0.002536854
dage1st      0.081105188  0.077080694  0.076938428  0.077594829  0.084390580
dage1stcat   0.081187370  0.077265718  0.076869936  0.077868723  0.084527842
mage1st      0.098185764  0.093064794  0.094842673  0.092984788  0.097126771
mage1stcat   0.096303266  0.091466204  0.092683645  0.091515529  0.095567901
depsi        0.012035828  0.011743017  0.011613139  0.011873805  0.011914991
depsicat    -0.082695434 -0.084593587 -0.086332877 -0.083764275 -0.082480878
depenerg    -0.008182024 -0.007601428 -0.007500843 -0.007709381 -0.008404263
depsev       0.011737896  0.008571697  0.008640909  0.008817964  0.011774336
depse        0.035400320  0.035417183  0.035855385  0.035612076  0.035200848
depdist      0.014637739  0.014261051  0.014114027  0.014476623  0.014775319
deppma      -0.002819519 -0.002877567 -0.002940402 -0.003023700 -0.003047809
elvselfe    -0.017026456 -0.016231816 -0.016375081 -0.016280587 -0.017483421
hxsui        0.155340539  0.149992222  0.150382740  0.150346593  0.150514031
elvsleep    -0.010000321 -0.010000361 -0.009886659 -0.009767420 -0.009344757
elvtalk     -0.010422618 -0.010445857 -0.010789365 -0.010697475 -0.010862361
elvfoi      -0.016342011 -0.016759452 -0.016944652 -0.017125383 -0.017253389
elvdistr    -0.017753329 -0.018282308 -0.018733664 -0.018217450 -0.017939030
elvgdact    -0.022065878 -0.021943200 -0.021985425 -0.021988739 -0.022094518
elvhrb      -0.013048352 -0.013184650 -0.013448319 -0.013261772 -0.013032881
elvpma      -0.008223828 -0.008086966 -0.008245717 -0.008089095  0.006282317
majdepc      0.995129073  0.995142646  0.993455792  0.995061172  0.990379113
majdepp      0.993659091  0.993675630  0.995142472  0.993596341  0.988899234
moodgenc     0.998399349  0.992134124  0.990439235  0.992044447  0.993654901
moodgenp     0.998398178  0.992132551  0.990438099  0.992044352  0.993653632
moodsubc     0.996831678  0.990572593  0.988870085  0.990494969  0.992094663
moodsubp     0.996828497  0.990568895  0.988868249  0.990491954  0.992090522
manicc       1.000000000  0.993687742  0.992012717  0.993582446  0.995167916
hmanicc      0.993687742  1.000000000  0.998273835  0.999871596  0.992071680
manicp       0.992012717  0.998273835  1.000000000  0.998028207  0.990265054
hmanicp      0.993582446  0.999871596  0.998028207  1.000000000  0.992034780
typeiic      0.995167916  0.992071680  0.990265054  0.992034780  1.000000000
typeiip      0.995142974  0.992050500  0.990200350  0.992055642  0.999963162
clinstat     0.018709026  0.019560213  0.021309080  0.019331135  0.019767253
manlast      0.051314262  0.047714346  0.048815846  0.047592566  0.048117394
deppast      0.094132213  0.090853160  0.089055561  0.090524936  0.094072796
mangenc      0.999973699  0.993706549  0.992018916  0.993617094  0.995229927
mangenp      0.999972993  0.993705949  0.992018156  0.993616018  0.995229178
hypogenc     0.999973523  0.993706719  0.992018885  0.993617144  0.995230059
hypogenp     0.999972641  0.993705969  0.992018095  0.993617072  0.995229123
mansubc      0.999974244  0.993705649  0.992018095  0.993615799  0.995228804
mansubp      0.999960754  0.993695015  0.992011726  0.993606299  0.995215676
hyposubc     0.999973314  0.993706269  0.992018156  0.993617292  0.995229497
hyposubp     0.999960364  0.993697217  0.991998943  0.993618723  0.995226282
anxdisc      0.993644838  0.987419027  0.988860930  0.987341548  0.988936562
anxdisp      0.993642500  0.987417751  0.988858214  0.987339954  0.988935649
anxsubc      0.993645792  0.987420603  0.988861719  0.987343399  0.988937982
anxsubp      0.993644610  0.987419952  0.988860986  0.987343068  0.988936711
pdnoagc      0.990484325  0.984270013  0.985693887  0.984201613  0.985781638
pdnoagp      0.990468762  0.984226472  0.985648358  0.984159140  0.985768824
pdagorc      0.990470921  0.984261681  0.985683217  0.984194614  0.985771230
pdagorp      0.990454020  0.984251026  0.985671348  0.984183032  0.985755735
agorc        0.990449199  0.984234975  0.985661789  0.984161959  0.985745529
agorp        0.990438452  0.984227852  0.985655312  0.984152222  0.985735563
phobiac      0.984233352  0.978029983  0.979422242  0.977951674  0.979542012
phobiap      0.984216358  0.978021711  0.979409752  0.977946149  0.979530142
ocdcur       0.990495342  0.987393755  0.988858344  0.987287289  0.988896673
ocdc         0.981125384  0.974919213  0.976373095  0.974876691  0.976432498
ocdpast      0.990484081  0.987355191  0.988816436  0.987247124  0.988886339
ocdp         0.982653581  0.976414440  0.977878189  0.976358698  0.977954476
ocdgenc      0.982687640  0.976469131  0.977934470  0.976420573  0.977988134
ocdgenp      0.984234166  0.978008422  0.979487004  0.977947865  0.979526105
ocdsubc      0.982687640  0.976469131  0.977934470  0.976420891  0.977988134
ocdsubp      0.984233785  0.978008120  0.979486711  0.977947842  0.979525691
ptsdcur      0.990495276  0.987395961  0.988857397  0.987288246  0.988862996
ptsdc        0.975090634  0.968984117  0.970310198  0.968998804  0.970470943
ptsdpast     0.990471051  0.987382117  0.988841624  0.987273992  0.988840408
ptsdp        0.976567852  0.970468371  0.971805482  0.970470835  0.971945207
alcdepc      0.981153469  0.974985692  0.976429248  0.974958658  0.976503070
alcdepp      0.981112706  0.974931201  0.976344021  0.974937415  0.976439144
alcabusc     0.981056385  0.978037494  0.979470318  0.978016632  0.979552613
alcabusp     0.979457144  0.976456181  0.977902226  0.976452719  0.977965790
drugdepc     0.973566990  0.967461122  0.968841416  0.967457878  0.968986446
drugdepp     0.972037977  0.965887146  0.967227988  0.965923482  0.967436645
drugabc      0.970426924  0.967458287  0.968837758  0.967453628  0.968984495
drugabp      0.976415198  0.973444770  0.974775754  0.973432635  0.974966044
psychp       0.976785788  0.970679344  0.968959841  0.970644096  0.972211586
bpsychp      0.976795269  0.970685517  0.968961281  0.970656273  0.972220861
ipsychp      0.973604818  0.970626923  0.969004331  0.970546351  0.972131049
psychc       0.978290845  0.972174224  0.970460820  0.972131740  0.973706857
bpsychc      0.976795867  0.970686011  0.968962246  0.970656610  0.972221187
ipsychc      0.976782845  0.970669166  0.968990930  0.970635620  0.972197255
schizc       0.978292153  0.972175512  0.970460580  0.972133931  0.973709258
schizp       0.978291704  0.972175140  0.970460561  0.972133206  0.973708775
schaffc      0.976794505  0.970685147  0.968962205  0.970655236  0.972220065
schaffp      0.976793168  0.970684358  0.968961532  0.970654015  0.972219259
schphrc      0.976795551  0.970686011  0.968962246  0.970656610  0.972221187
schphrp      0.976795551  0.970686011  0.968962246  0.970656610  0.972221187
deldisc      0.976795867  0.970686011  0.968962246  0.970656610  0.972221187
deldisp      0.976795568  0.970685764  0.968962234  0.970656127  0.972220866
psygenc      0.976795700  0.970686135  0.968962252  0.970656851  0.972221348
psygenp      0.976794953  0.970685832  0.968961594  0.970656273  0.972220861
psysubc      0.976795717  0.970685887  0.968962240  0.970656368  0.972221027
psysubp      0.976789355  0.970681548  0.968957653  0.970649437  0.972214696
psynosc      0.976793948  0.970684480  0.968960909  0.970654255  0.972219103
